motif,good_count,good_support,bad_count,bad_support,manual_count,manual_support,good_minus_bad,bad_minus_good,shared_strength,manual_alignment,group
orient:axisb0_diagb3_curveb3,225,0.4151291512915129,1343,0.33922707754483455,9,0.0703125,0.07590207374667834,-0.07590207374667834,0.33922707754483455,0.0703125,manual_aligned
proxy:vertical_spine_branching,98,0.18081180811808117,495,0.12503157362970446,9,0.0703125,0.05578023448837671,-0.05578023448837671,0.12503157362970446,0.0703125,manual_aligned
orient:axisb1_diagb2_curveb2,0,0.0,3,0.0007577671129072998,9,0.0703125,-0.0007577671129072998,0.0007577671129072998,0.0,0.0703125,manual_aligned
relhist:E3_T0_X0_C0,16,0.02952029520295203,245,0.06188431422076282,8,0.0625,-0.03236401901781079,0.03236401901781079,0.02952029520295203,0.0625,manual_aligned
proxy:interlocked_ports,44,0.08118081180811808,181,0.04571861581207375,7,0.0546875,0.035462195996044325,-0.035462195996044325,0.04571861581207375,0.0546875,manual_aligned
field:spineb2_enclb0_interb1,8,0.014760147601476014,11,0.0027784794139934328,7,0.0546875,0.011981668187482582,-0.011981668187482582,0.0027784794139934328,0.0546875,manual_aligned
proxy:orbit_or_seal_field,229,0.4225092250922509,1001,0.2528416266734024,6,0.046875,0.16966759841884854,-0.16966759841884854,0.2528416266734024,0.046875,manual_aligned
relhist:E4_T0_X0_C1,84,0.15498154981549817,798,0.20156605203334174,6,0.046875,-0.046584502217843576,0.046584502217843576,0.15498154981549817,0.046875,manual_aligned
role:maxD3_B1_portb3,29,0.05350553505535055,151,0.038140944683000756,6,0.046875,0.015364590372349794,-0.015364590372349794,0.038140944683000756,0.046875,manual_aligned
proxy:ring_core_spine_ports,28,0.05166051660516605,119,0.030058095478656226,6,0.046875,0.021602421126509827,-0.021602421126509827,0.030058095478656226,0.046875,manual_aligned
